artist,title,artist_list,total_weeks,peak_rank,debut_rank,end_rank,peak_week,decay_rate,post_peak_length
Travis Denning,After A Few,['Travis Denning'],15,31.0,78.0,90.0,9,-11.8,5
Travis Scott,4X4,['Travis Scott'],4,1.0,1.0,96.0,0,-31.666666666666668,3
Travis Scott,5% Tint,['Travis Scott'],2,36.0,36.0,89.0,0,-53.0,1
Travis Scott,Antidote,['Travis Scott'],12,16.0,16.0,47.0,0,-2.8181818181818183,11
Travis Scott,Beibs In The Trap,['Travis Scott'],3,90.0,93.0,97.0,1,-7.0,1
Travis Scott,Can't Say,['Travis Scott'],2,38.0,38.0,69.0,0,-31.0,1
Travis Scott,Carousel,['Travis Scott'],2,24.0,24.0,81.0,0,-57.0,1
Travis Scott,Dumbo,['Travis Scott'],2,54.0,54.0,75.0,0,-21.0,1
Travis Scott,Escape Plan,['Travis Scott'],3,11.0,11.0,97.0,0,-43.0,2
Travis Scott,God's Country,['Travis Scott'],2,28.0,28.0,89.0,0,-61.0,1
Travis Scott,Hyaena,['Travis Scott'],2,14.0,14.0,70.0,0,-56.0,1
Travis Scott,Kick Out,['Travis Scott'],2,50.0,50.0,64.0,0,-14.0,1
Travis Scott,No Bystanders,['Travis Scott'],2,31.0,31.0,79.0,0,-48.0,1
Travis Scott,R.I.P Screw,['Travis Scott'],2,26.0,26.0,75.0,0,-49.0,1
Travis Scott,Sicko Mode,['Travis Scott'],52,1.0,4.0,50.0,16,-1.4,35
Travis Scott,Sirens,['Travis Scott'],2,27.0,27.0,87.0,0,-60.0,1
Travis Scott,Stargazing,['Travis Scott'],8,8.0,8.0,87.0,0,-11.285714285714286,7
Travis Scott,Stop Trying To Be God,['Travis Scott'],2,27.0,27.0,66.0,0,-39.0,1
Travis Scott,Thank God,['Travis Scott'],3,16.0,16.0,97.0,0,-40.5,2
Travis Scott & Beyonce,Delresto (Echoes),"['Travis Scott', 'Beyonce']",2,25.0,25.0,93.0,0,-68.0,1
Travis Scott & Don Toliver,Champain & Vacay,"['Travis Scott', 'Don Toliver']",2,53.0,53.0,87.0,0,-34.0,1
Travis Scott & HVME,Goosebumps,"['Travis Scott', 'HVME']",20,47.0,85.0,83.0,11,-4.5,8
Travis Scott Featuring Drake,Meltdown,"['Travis Scott', 'Drake']",19,3.0,3.0,94.0,0,-5.055555555555555,18
Travis Scott Featuring James Blake & 21 Savage,Til Further Notice,"['Travis Scott', 'James Blake', '21 Savage']",2,38.0,38.0,85.0,0,-47.0,1
Travis Scott Featuring Lil Uzi Vert & Kanye West,Watch,"['Travis Scott', 'Lil Uzi Vert', 'Kanye West']",5,16.0,16.0,87.0,0,-17.75,4
Travis Scott Featuring Rob49 & 21 Savage,Topia Twins,"['Travis Scott', 'Rob49', '21 Savage']",4,17.0,17.0,96.0,0,-26.333333333333332,3
Travis Scott Featuring SZA & Future,Telekinesis,"['Travis Scott', 'SZA', 'Future']",11,26.0,26.0,98.0,0,-7.2,10
Travis Scott Featuring Teezo Touchdown,Modern Jam,"['Travis Scott', 'Teezo Touchdown']",2,23.0,23.0,71.0,0,-48.0,1
Travis Scott Featuring Young Thug,Skitzo,"['Travis Scott', 'Young Thug']",2,34.0,34.0,92.0,0,-58.0,1
Travis Scott Featuring Young Thug & M.I.A.,Franchise,"['Travis Scott', 'Young Thug', 'M.I.A.']",9,1.0,1.0,78.0,0,-9.625,8
